,GroupNumber,SubjectID_left,SubjectID_right,Computer,Gender_left,Gender_right,Age_left,Age_right,Familiarity,Block,Image_1,Image_2,Prop_red_image_1,Prop_red_image_2,Prop_yellow_image_1,Prop_yellow_image_2,Prop_green_image_1,Prop_green_image_2,Prop_blue_image_1,Prop_blue_image_2,Response_left,Response_right,Joint_left,Joint_right,Correct_left,Correct_right,Correct_joint,RT_left,RT_right,RT_joint_left,RT_joint_right,Participation_left,Participation_right
0,32_16_20,Theasmom,John,Two screens,Female,Male,54,60,Not familiar with partner,1,Red\r08y12g20b03.jpeg,Red\r17y11g38b07.jpeg,08,17,12,11,20,38,03,07,-1,-1,0,0,0,0,0,6.379,2.796,0,0,2nd time,2nd time
1,32_16_20,Theasmom,John,Two screens,Female,Male,54,60,Not familiar with partner,1,Red\r22y02g34b05.jpeg,Red\r17y20g40b07.jpeg,22,17,02,20,34,40,05,07,1,-1,-1,0,1,0,0,2.092,1.405,5.344,0,2nd time,2nd time
2,32_16_20,Theasmom,John,Two screens,Female,Male,54,60,Not familiar with partner,1,Red\r28y29g17b05.jpeg,Red\r32y16g04b09.jpeg,28,32,29,16,17,04,05,09,1,-1,1,0,1,0,1,2.37,3.182,2.601,0,2nd time,2nd time
3,32_16_20,Theasmom,John,Two screens,Female,Male,54,60,Not familiar with partner,1,Red\r21y01g04b27.jpeg,Red\r14y12g04b29.jpeg,21,14,01,12,04,04,27,29,1,1,0,0,1,1,0,1.507,2.17,0,0,2nd time,2nd time
4,32_16_20,Theasmom,John,Two screens,Female,Male,54,60,Not familiar with partner,1,Red\r11y26g25b38.jpeg,Red\r11y13g22b35.jpeg,11,11,26,13,25,22,38,35,3,1,0,0,0,0,0,1.757,1.937,0,0,2nd time,2nd time
5,32_16_20,Theasmom,John,Two screens,Female,Male,54,60,Not familiar with partner,1,Red\r11y14g08b23.jpeg,Rep\r25y08g24b21.jpeg,11,25,14,08,08,24,23,21,1,-1,1,0,0,1,0,1.952,2.365,5.289,0,2nd time,2nd time
6,32_16_20,Theasmom,John,Two screens,Female,Male,54,60,Not familiar with partner,1,Red\r31y29g03b13.jpeg,Red\r13y21g23b09.jpeg,31,13,29,21,03,23,13,09,-1,-1,0,0,1,1,0,1.838,1.334,0,0,2nd time,2nd time
7,32_16_20,Theasmom,John,Two screens,Female,Male,54,60,Not familiar with partner,1,Red\r38y05g25b19.jpeg,Red\r25y30g09b15.jpeg,38,25,05,30,25,09,19,15,-1,1,0,-1,1,0,1,1.599,2.812,0,4.143,2nd time,2nd time
8,32_16_20,Theasmom,John,Two screens,Female,Male,54,60,Not familiar with partner,1,Rep\r17y11g38b07.jpeg,Red\r22y02g34b05.jpeg,17,22,11,02,38,34,07,05,1,-1,0,1,0,1,0,2.04,2.586,0,4.184,2nd time,2nd time
9,32_16_20,Theasmom,John,Two screens,Female,Male,54,60,Not familiar with partner,1,Red\r22y38g15b22.jpeg,Red\r25y08g24b21.jpeg,22,25,38,08,15,24,22,21,2,1,0,0,0,0,0,1.471,1.168,0,0,2nd time,2nd time
